condicion,turno,persona_score,bdi_score,rag_score,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance,lexical_adoption,coherencia_tactica,subordinacion_macro,autenticidad_discursiva
baseline,7.0,4.36751452991453,,,4.666666666666667,3.8376068376068377,4.3418803418803416,4.777777777777778,4.547008547008547,4.034188034188034,4.6581196581196584,,,,4.089743589743589
bdi_only,6.947368421052632,4.379530701754386,4.728070175438597,,4.780701754385965,3.8421052631578947,4.333333333333333,4.666666666666667,4.5964912280701755,4.045045045045045,4.780701754385965,,4.56140350877193,4.894736842105263,4.087719298245614
bdi_rag,7.0,4.4393128205128205,4.636752136752137,0.6272606837606838,4.777777777777778,4.0256410256410255,4.3247863247863245,4.888888888888889,4.487179487179487,4.129310344827586,4.700854700854701,4.333333333333333,4.384615384615385,4.888888888888889,4.1752136752136755
rag_only,7.0,4.3988598290598295,,0.6184273504273504,4.666666666666667,3.9316239316239314,4.3076923076923075,4.777777777777778,4.495726495726496,4.213675213675214,4.700854700854701,4.367521367521367,,,4.119658119658119
