condicion,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance,persona_score
baseline,4.662,3.8777777777777778,4.309222222222222,4.780888888888889,4.458333333333333,4.087555555555555,4.666666666666667,4.362777777777778
bdi_only,4.786888888888889,3.8118888888888893,4.336,4.666666666666667,4.571333333333333,4.160666666666667,4.803555555555556,4.3870000000000005
bdi_rag,4.780888888888889,4.121444444444445,4.347777777777778,4.881111111111111,4.408777777777778,4.2235555555555555,4.698666666666666,4.459888888888889
rag_only,4.680666666666666,3.9413333333333336,4.329444444444444,4.780888888888889,4.4319999999999995,4.327222222222222,4.689111111111111,4.415333333333333
