condicion,actor_id,turno,tipologia,n_palabras_chunks,n_palabras_respuesta,conflict_vocab_density_response,conflict_vocab_count,conflict_vocab_words_response,rag_transfer_limpio,rag_transfer_lexical,rag_transfer_eufemismos,rag_transfer_expresiones,top_k_similarity,scores_por_chunk,role_purity,n_docs_total,n_docs_rol,usado_fallback,lexical_diversity
bdi_only,victimario,4,abierta,0,243,0.0206,9,civil|comunidad|entrenamiento|grupo|militar|momento|operacion|operaciones|unidad,,,,,,,,,,,
bdi_only,victimario,5,abierta,0,211,0.0284,11,civil|comunidad|enfrentamiento|familia|grupo|grupos|momento|paz|toma|unidad|zona,,,,,,,,,,,
bdi_only,victimario,6,abierta,0,235,0.0298,9,civil|comunidad|enemigo|familia|frente|grupo|guerra|unidad|violencia,,,,,,,,,,,
bdi_only,victimario,7,confrontativa,0,247,0.0283,8,arma|armado|civil|conflicto|grupo|mando|momento|proceso,,,,,,,,,,,
bdi_only,victimario,8,abierta,0,245,0.0286,13,combatiente|combatientes|comunidad|conflicto|desplazamiento|excombatientes|familia|guerra|momento|paz|proceso|toma|unidad,,,,,,,,,,,
bdi_only,victimario,9,confrontativa,0,226,0.0221,6,grupo|momento|operacion|operaciones|paz|proceso,,,,,,,,,,,
bdi_only,victimario,10,abierta,0,256,0.0391,16,arma|armas|combatiente|combatientes|comunidad|conflicto|excombatientes|familia|momento|operacion|operaciones|paz|proceso|toma|unidad|violencia,,,,,,,,,,,
bdi_only,victimario,11,confrontativa,0,237,0.0211,7,civil|combatiente|combatientes|excombatientes|paz|proceso|violencia,,,,,,,,,,,
bdi_only,victimario,12,abierta,0,306,0.0359,9,civil|combatiente|combatientes|comunidad|excombatientes|momento|proceso|toma|unidad,,,,,,,,,,,
bdi_only,victimario,13,abierta,0,263,0.019,6,comunidad|conflicto|guerra|proceso|unidad|violencia,,,,,,,,,,,
bdi_rag,tercero,1,cerrada,102,230,0.0783,16,actores|armado|armados|comunidad|conflicto|control|fuerza|gente|grupos|matar|mataron|presencia|pueblo|responsabilidad|social|vereda,0.4355,0.5294,0.0,0.2,0.8353,"[0.8397, 0.8368, 0.834, 0.8334, 0.8327]",1.0,5.0,5.0,False,0.6078
bdi_rag,tercero,2,abierta,114,259,0.0695,17,armado|armados|comunidad|cultura|familia|gente|grupos|impacto|llega|mil|presencia|rio|seguridad|social|sociales|vereda|violencia,0.4559,0.5667,0.0,0.4,0.8497,"[0.8656, 0.8511, 0.8455, 0.8443, 0.842]",1.0,5.0,5.0,False,0.5965
bdi_rag,tercero,3,abierta,146,291,0.134,23,actores|amenazas|armado|armados|colombia|comunidad|control|diferentes|estado|farc|gente|grupos|guerrilla|institucion|miedo|movimiento|presencia|rio|seguridad|social|territorio|vereda|violencia,0.4022,0.7308,0.4,0.4,0.8678,"[0.8757, 0.8718, 0.8713, 0.861, 0.8593]",1.0,5.0,5.0,False,0.6301
bdi_rag,tercero,4,abierta,141,293,0.0648,20,armado|armados|comunidad|conflicto|desplazamiento|estrategia|familia|farc|gente|grupos|impacto|justicia|miedo|mil|pueblo|situacion|social|sociales|vereda|violencia,0.5455,0.65,0.25,0.6667,0.8498,"[0.8676, 0.8548, 0.8444, 0.8411, 0.841]",1.0,5.0,5.0,False,0.5603
bdi_rag,tercero,5,cerrada,112,285,0.0491,20,amenazas|armado|comunidad|desplazamiento|familia|fuerza|gente|masacre|matar|mataron|memoria|miedo|mil|militar|militares|pais|paramilitares|situacion|vereda|violencia,0.2609,0.1905,0.25,0.375,0.842,"[0.8494, 0.8468, 0.8391, 0.8381, 0.8367]",1.0,5.0,5.0,False,0.6161
bdi_rag,tercero,6,abierta,94,290,0.0862,19,actores|armado|armados|casos|civil|comunidad|gente|grupos|guerra|guerrilla|matar|memoria|miedo|rio|social|sociales|territorio|vereda|violencia,0.3966,0.3889,1.0,0.1667,0.8618,"[0.8667, 0.8667, 0.8628, 0.86, 0.8527]",1.0,5.0,5.0,False,0.617
bdi_rag,tercero,7,abierta,114,264,0.0606,11,armado|armados|comunidad|conflicto|decision|estado|estrategia|gente|grupos|miedo|violencia,0.4237,0.5185,0.0,0.2,0.8548,"[0.8735, 0.8583, 0.85, 0.8485, 0.8437]",1.0,5.0,5.0,False,0.5439
bdi_rag,tercero,8,abierta,101,246,0.0366,7,amenazas|conoci|estado|justicia|llega|miedo|violencia,0.1912,0.28,0.0,0.0,0.8185,"[0.826, 0.8222, 0.8197, 0.8147, 0.8101]",1.0,5.0,5.0,False,0.6931
bdi_rag,tercero,9,cerrada,123,266,0.0376,13,amenazas|armado|armados|comunidad|familia|grupos|masacre|miedo|mil|rio|seguridad|violencia|zona,0.1786,0.1923,0.3333,0.0,0.8344,"[0.8419, 0.8361, 0.8332, 0.831, 0.8296]",1.0,5.0,5.0,False,0.7236
bdi_rag,tercero,10,confrontativa,111,304,0.0691,23,armado|armados|comunidad|conflicto|desplazamiento|frente|gente|grupos|impacto|justicia|llega|matar|mataron|memoria|miedo|pais|paz|personas|rio|situacion|social|trabajo|violencia,0.3,0.4194,0.25,0.2,0.8517,"[0.8757, 0.8519, 0.8462, 0.8446, 0.8399]",1.0,5.0,5.0,False,0.6306
bdi_rag,tercero,11,confrontativa,130,267,0.0412,10,armado|armados|comunidad|frente|grupos|justicia|memoria|miedo|mil|violencia,0.2597,0.3243,0.0,0.0,0.8311,"[0.8481, 0.8312, 0.8285, 0.8251, 0.8228]",1.0,5.0,5.0,False,0.6077
bdi_rag,tercero,12,abierta,120,310,0.0774,19,comunidad|conflicto|conoci|decision|familia|gente|importante|justicia|llega|memoria|miedo|mil|personas|proceso|rio|social|trabajar|victima|violencia,0.4286,0.2667,0.2,0.2857,0.8573,"[0.8654, 0.8644, 0.8559, 0.8533, 0.8473]",1.0,5.0,5.0,False,0.6
bdi_rag,tercero,13,abierta,147,269,0.052,10,armado|comunidad|conflicto|control|diferentes|justicia|memoria|miedo|paz|proceso,0.3077,0.2308,0.0,0.0,0.822,"[0.8381, 0.8335, 0.8267, 0.8072, 0.8047]",1.0,5.0,5.0,False,0.5442
bdi_rag,victima,1,cerrada,138,107,0.0748,7,amenazas|cultivos|farc|militar|recuerdo|vereda|violencia,0.2262,0.1707,0.0,0.3333,0.846,"[0.8527, 0.8482, 0.8444, 0.843, 0.8417]",1.0,5.0,5.0,False,0.6087
bdi_rag,victima,2,abierta,123,153,0.1046,17,amenazas|armado|armados|comunidad|cultivos|gente|grupos|hijo|hijos|miedo|muerte|recuerdo|rio|vereda|violencia|vivido|vivir,0.3881,0.3158,0.0,0.4,0.8271,[0.8271],1.0,1.0,1.0,False,0.561
bdi_rag,victima,3,abierta,138,163,0.0429,5,amenazas|gente|momento|noche|vivido,0.3947,0.375,0.1667,0.4286,0.8244,"[0.8269, 0.8269, 0.8251, 0.8251, 0.8182]",1.0,5.0,5.0,False,0.5797
bdi_rag,victima,4,cerrada,92,142,0.0634,10,amenazas|armado|armados|campo|comunidad|cualquier|farc|mal|miedo|vereda,0.4898,0.3571,0.6,0.2,0.8528,"[0.8757, 0.8757, 0.8398, 0.8363, 0.8363]",1.0,5.0,5.0,False,0.5435
bdi_rag,victima,5,abierta,119,179,0.0279,9,cultivos|duro|familia|momento|ningun|recuerdo|rio|territorio|violencia,0.2093,0.1053,0.0,0.3333,0.8419,"[0.8603, 0.8525, 0.8345, 0.8345, 0.8279]",1.0,5.0,5.0,False,0.7395
bdi_rag,victima,6,abierta,143,187,0.0321,8,desplazamiento|familia|gente|miedo|momento|personas|recuerdo|rio,0.3478,0.375,0.2,0.2,0.8022,"[0.8076, 0.8018, 0.8018, 0.8016, 0.7982]",1.0,5.0,5.0,False,0.5455
bdi_rag,victima,7,abierta,109,206,0.0437,12,desplazamiento|escuela|familia|hija|importante|padre|recuerdo|rio|trabajo|violencia|vivido|vivir,0.2615,0.2222,0.0,0.4286,0.8405,"[0.8491, 0.8403, 0.8403, 0.8377, 0.835]",1.0,5.0,5.0,False,0.6422
bdi_rag,victima,8,abierta,108,163,0.0245,7,amenazas|ayuda|momento|ningun|situacion|violencia|vivido,0.2969,0.25,0.125,0.5,0.8402,"[0.8438, 0.8425, 0.8409, 0.8405, 0.8331]",1.0,5.0,5.0,False,0.6111
bdi_rag,victima,9,abierta,120,164,0.0122,8,familia|familiar|hijo|hijos|momento|recuerdo|vereda|vivir,0.2174,0.2143,0.0,0.3333,0.8165,"[0.8568, 0.8211, 0.8174, 0.7938, 0.7932]",1.0,5.0,5.0,False,0.6
bdi_rag,victima,10,confrontativa,103,172,0.064,13,amenazas|armado|armados|familia|familiar|gente|grupos|hicieron|miedo|recuerdo|rio|vereda|violencia,0.1667,0.2727,0.0,0.1429,0.8501,"[0.8567, 0.8501, 0.8485, 0.8483, 0.8468]",1.0,5.0,5.0,False,0.5825
bdi_rag,victima,11,confrontativa,143,190,0.1,18,amenazas|armado|armados|comunidad|creo|farc|gente|grupos|hicieron|mal|miedo|pais|relacion|rio|social|vereda|violencia|vivir,0.1818,0.2558,0.0,0.0,0.824,"[0.8305, 0.8274, 0.8222, 0.8159]",1.0,4.0,4.0,False,0.6294
bdi_rag,victima,12,confrontativa,177,200,0.07,19,armado|armados|comunidad|comunidades|conflicto|contar|gente|grupos|guerrillero|guerrilleros|hermana|mal|miedo|rio|situacion|tema|violencia|vivir|zona,0.2941,0.4,0.0,0.0,0.8135,"[0.8188, 0.8081]",1.0,2.0,2.0,False,0.4859
bdi_rag,victima,13,abierta,152,217,0.0507,10,familia|muerte|paso|paz|rio|social|tema|verdad|victima|vivido,0.4023,0.5682,0.0,0.0,0.8316,"[0.8454, 0.8318, 0.8317, 0.8307, 0.8182]",1.0,5.0,5.0,False,0.5855
bdi_rag,victimario,1,abierta,87,181,0.0331,7,comunidad|militar|momento|proceso|toma|unidad|violencia,0.2063,0.1667,0.0,0.0,0.8242,"[0.84, 0.8337, 0.8187, 0.8184, 0.8104]",1.0,5.0,5.0,False,0.7356
bdi_rag,victimario,2,abierta,96,207,0.0435,15,arma|armas|combate|comunidad|grupo|militar|militares|momento|paramilitar|paramilitares|pueblo|reclutamiento|toma|unidad|violencia,0.1935,0.3333,0.0,0.1429,0.8315,"[0.8371, 0.8364, 0.8357, 0.8289, 0.8193]",1.0,5.0,5.0,False,0.6458
bdi_rag,victimario,3,cerrada,119,175,0.0171,8,comunidad|mando|militar|momento|operacion|operaciones|toma|unidad,0.0864,0.1042,0.0,0.0,0.8184,"[0.8321, 0.8213, 0.8153, 0.8122, 0.811]",1.0,5.0,5.0,False,0.6891
bdi_rag,victimario,4,abierta,104,197,0.0254,8,campamento|combate|enemigo|militar|momento|patrulla|pueblo|violencia,0.1045,0.05,0.0,0.0,0.8293,"[0.8372, 0.8293, 0.8289, 0.826, 0.8253]",1.0,5.0,5.0,False,0.6538
bdi_rag,victimario,5,abierta,127,209,0.0526,15,arma|armado|armados|civil|combate|comunidad|enemigo|enfrentamiento|familia|grupo|grupos|mando|momento|toma|unidad,0.1558,0.2759,0.0,0.0,0.8241,"[0.8382, 0.8235, 0.8219, 0.8195, 0.8174]",1.0,5.0,5.0,False,0.622
bdi_rag,victimario,6,abierta,121,232,0.0431,12,civil|combatiente|combatientes|comunidad|conflicto|enemigo|frente|grupo|guerra|mando|toma|unidad,0.1867,0.1944,0.4,0.0,0.8249,"[0.8394, 0.8267, 0.8261, 0.8164, 0.8157]",1.0,5.0,5.0,False,0.6446
bdi_rag,victimario,7,confrontativa,129,210,0.0238,6,comandante|conflicto|grupo|mando|toma|violencia,0.1867,0.08,0.1429,0.1,0.8426,"[0.8462, 0.8445, 0.8414, 0.8409, 0.8399]",1.0,5.0,5.0,False,0.5969
