condicion,actor_id,turno,tipologia,n_palabras_chunks,n_palabras_respuesta,conflict_vocab_density_response,conflict_vocab_count,conflict_vocab_words_response,rag_transfer_limpio,rag_transfer_lexical,rag_transfer_eufemismos,rag_transfer_expresiones,top_k_similarity,scores_por_chunk,role_purity,n_docs_total,n_docs_rol,usado_fallback,lexical_diversity
rag_only,victima,2,abierta,173,143,0.0909,15,armado|armados|campo|comunidad|gente|grupos|hijo|hijos|paz|recuerdo|reunion|tierra|vereda|violencia|vivir,0.1809,0.25,0.0,0.1429,0.8137,"[0.8515, 0.8205, 0.8135, 0.7938, 0.7891]",1.0,5.0,5.0,False,0.5549
rag_only,victima,3,abierta,150,188,0.0745,17,armado|armados|desplazamiento|familia|familias|grupos|hijo|hijos|matan|miedo|momento|muerte|personas|recuerdo|vereda|violencia|vivido,0.2326,0.2308,0.3333,0.0,0.8194,"[0.8353, 0.8249, 0.8175, 0.8126, 0.8066]",1.0,5.0,5.0,False,0.5933
rag_only,victima,4,cerrada,150,189,0.0582,13,amenazas|armado|armados|comunidad|desplazamiento|familia|familiar|grupos|miedo|recuerdo|rio|temor|violencia,0.2,0.4545,0.0,0.0,0.8324,"[0.8434, 0.8343, 0.8312, 0.8284, 0.8246]",1.0,5.0,5.0,False,0.56
rag_only,victima,5,abierta,165,175,0.0457,12,comunidad|duro|gente|hijo|hijos|mujer|mujeres|rio|territorio|verdad|vive|vivir,0.3333,0.3333,0.1667,0.2,0.8249,"[0.8312, 0.8275, 0.8245, 0.8222, 0.8189]",1.0,5.0,5.0,False,0.6182
rag_only,victima,6,abierta,144,189,0.0529,10,armado|armados|desplazamiento|grupos|guerrilla|llegamos|matan|miedo|paso|vivido,0.2532,0.2917,0.0,0.1429,0.8194,"[0.8275, 0.8259, 0.8215, 0.8122, 0.8097]",1.0,5.0,5.0,False,0.5764
rag_only,victima,7,abierta,102,192,0.0469,15,ayuda|comunidad|desplazamiento|duro|familia|gente|hijo|hijos|mal|momento|quedaron|recuerdo|vive|vivido|zona,0.4769,0.381,0.3333,0.6,0.8444,"[0.8614, 0.843, 0.843, 0.8415, 0.833]",1.0,5.0,5.0,False,0.6471
rag_only,victima,8,abierta,125,151,0.0199,6,ayuda|mientras|momento|paz|verdad|vivido,0.2817,0.1,0.1429,0.6667,0.8408,"[0.8605, 0.8392, 0.837, 0.8358, 0.8316]",1.0,5.0,5.0,False,0.608
rag_only,victima,9,abierta,208,184,0.0489,9,conflicto|matar|momento|muerte|recuerdo|temor|tierra|tierras|vereda,0.2696,0.3333,0.0,0.0909,0.8313,"[0.8645, 0.8242, 0.824, 0.8221, 0.8216]",1.0,5.0,5.0,False,0.5625
rag_only,victima,10,confrontativa,139,178,0.0899,15,armado|armados|familia|gente|grupos|guerrilla|matan|miedo|momento|muerto|muertos|tierra|usted|vereda|violencia,0.3803,0.4054,0.0,0.1429,0.8431,"[0.8517, 0.8429, 0.8418, 0.8398, 0.8391]",1.0,5.0,5.0,False,0.5468
rag_only,victima,11,confrontativa,107,180,0.0722,10,armado|armados|comunidad|conflicto|familia|familias|grupos|miedo|noche|violencia,0.1525,0.1613,0.0,0.5,0.85,"[0.8639, 0.8639, 0.8451, 0.8428, 0.8344]",1.0,5.0,5.0,False,0.5888
