comparacion,actor_id,delta_conflict_vocab_overlap,delta_ngram_overlap_weighted,delta_conflict_vocab_count,delta_conflict_vocab_density_response,delta_autenticidad_lexica,delta_autenticidad_emocional,delta_goal_directedness,delta_tactical_consistency,delta_factual_grounding,delta_grounding_score
efecto_bdi_sobre_rag,tercero,0.0538,0.0769,2.0435,0.0116,0.087,-0.1304,0.0,0.0435,-0.087,0.0035
efecto_bdi_sobre_rag,victima,0.0069,-0.0487,0.7391,0.0052,0.0435,-0.087,0.0,-0.087,0.2174,0.0259
efecto_bdi_sobre_rag,victimario,0.0846,0.0293,-0.087,0.0102,-0.3043,-0.0435,0.0,0.0,-0.0435,-0.0
efecto_rag_sobre_bdi,tercero,,,1.0,0.0133,0.4783,0.0,0.0,-0.0435,0.1304,
efecto_rag_sobre_bdi,victima,,,1.1739,0.0225,0.4348,-0.0435,0.0,0.1304,0.3478,
efecto_rag_sobre_bdi,victimario,,,0.3478,0.0089,0.2174,0.3043,0.0,0.1739,0.0435,
