condicion,actor_id,delta_conflict_vocab_overlap,delta_ngram_overlap_weighted,delta_conflict_vocab_count,delta_conflict_vocab_density_response,delta_autenticidad_lexica,delta_autenticidad_emocional,delta_goal_directedness,delta_tactical_consistency,delta_factual_grounding,delta_grounding_score,vocab_novelty
bdi_only,tercero,,,0.2609,0.0007,0.0,0.1739,0.0,-0.0435,0.087,,0.1972
bdi_only,victima,,,0.8261,0.0012,-0.3478,0.0435,0.0,-0.1304,0.0435,,0.1587
bdi_only,victimario,,,-0.7826,-0.0023,0.0435,0.0,0.0,-0.1739,0.1304,,0.1944
bdi_rag,tercero,,,1.2609,0.014,0.4783,0.1739,0.0,-0.087,0.2174,,0.2597
bdi_rag,victima,,,2.0,0.0237,0.087,0.0,0.0,0.0,0.3913,,0.2571
bdi_rag,victimario,,,-0.4348,0.0066,0.2609,0.3043,0.0,0.0,0.1739,,0.3571
rag_only,tercero,,,-0.7826,0.0024,0.3913,0.3043,0.0,-0.1304,0.3043,,0.2286
rag_only,victima,,,1.2609,0.0185,0.0435,0.087,0.0,0.087,0.1739,,0.2958
rag_only,victimario,,,-0.3478,-0.0036,0.5652,0.3478,0.0,0.0,0.2174,,0.375
